date,open,high,low,volume,close,return
2007-01-05,4.09881,4.293187,4.0227504,40508056.0,4.183322,0.010204379791189044
2007-01-08,4.1959987,4.5551724,4.1959987,37708590.0,4.479112,0.07070696446508284
2007-01-09,4.5129175,4.7115192,4.2593822,53759116.0,4.457985,-0.0047167831480882105
2007-01-10,4.4326305,4.7030673,4.3312163,55106836.0,4.6903906,0.05213243202926887
2007-01-11,4.6481357,4.8087077,4.5086913,35398628.0,4.584752,-0.022522346006748295
2007-01-12,4.50024,4.542496,4.225578,37915550.0,4.24248,-0.07465441969380249
2007-01-15,4.204449,4.457984,4.183321,41231548.0,4.419954,0.04183260734287497
2007-01-16,4.470661,4.639684,4.403052,46005684.0,4.593203,0.039197014267569275
2007-01-17,4.6058793,4.749549,4.2678337,50776320.0,4.360796,-0.050598024951216014
2007-01-18,4.3565702,4.597428,4.1410656,48073764.0,4.3100886,-0.011628014701902889
2007-01-19,4.31854,4.588977,4.31854,44730136.0,4.53827,0.0529412318809408
2007-01-22,4.597428,4.9904065,4.5889764,85774940.0,4.9904065,0.09962750122844177
2007-01-23,5.0284367,5.239715,4.8805413,76072730.0,5.1129484,0.02455549462754192
2007-01-24,5.1129494,5.1129494,4.943926,51567216.0,5.00731,-0.02066095562396042
2007-01-25,4.9777303,4.9861817,4.64391,44794216.0,4.652361,-0.07088616442760687
2007-01-26,4.53827,4.6270075,4.2593822,46199920.0,4.5086913,-0.030881030083435124
2007-01-29,4.5763006,4.6270075,4.4157286,46029070.0,4.6270075,0.02624180546581245
2007-01-30,4.652361,4.6861653,4.457984,36004480.0,4.479112,-0.031963531504973886
2007-01-31,4.436856,4.436856,4.0312004,56752260.0,4.0734563,-0.09056609881601518
2007-02-01,4.0354266,4.1157126,3.80302,57173984.0,4.0692315,-0.0010371536328990238
2007-02-02,4.1833215,4.310089,3.8875313,43769370.0,3.9255617,-0.03530637173136997
2007-02-05,3.8875315,3.9509156,3.7185087,34903292.0,3.8368247,-0.022604917915313827
